[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.impl.conn.HttpClientConnectionOperator  - Connecting to localhost/127.0.0.1:17746
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.impl.conn.HttpClientConnectionOperator  - Connection established 127.0.0.1:52386<->127.0.0.1:17746
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Executing request POST /session/3882ed46aa31b8789620a970439fec5f/element/0.4401332226752521-6/value HTTP/1.1
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.headers  - http-outgoing-1481 >> POST /session/3882ed46aa31b8789620a970439fec5f/element/0.4401332226752521-6/value HTTP/1.1
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.headers  - http-outgoing-1481 >> Content-Type: application/json; charset=utf-8
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.headers  - http-outgoing-1481 >> Content-Length: 43
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.headers  - http-outgoing-1481 >> Host: localhost:17746
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.headers  - http-outgoing-1481 >> Connection: Keep-Alive
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.headers  - http-outgoing-1481 >> User-Agent: Apache-HttpClient/4.3.4 (java 1.5)
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.headers  - http-outgoing-1481 >> Accept-Encoding: gzip,deflate
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.wire  - http-outgoing-1481 >> "POST /session/3882ed46aa31b8789620a970439fec5f/element/0.4401332226752521-6/value HTTP/1.1[\r][\n]"
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.wire  - http-outgoing-1481 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.wire  - http-outgoing-1481 >> "Content-Length: 43[\r][\n]"
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.wire  - http-outgoing-1481 >> "Host: localhost:17746[\r][\n]"
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.wire  - http-outgoing-1481 >> "Connection: Keep-Alive[\r][\n]"
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.wire  - http-outgoing-1481 >> "User-Agent: Apache-HttpClient/4.3.4 (java 1.5)[\r][\n]"
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.wire  - http-outgoing-1481 >> "Accept-Encoding: gzip,deflate[\r][\n]"
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.wire  - http-outgoing-1481 >> "[\r][\n]"
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.wire  - http-outgoing-1481 >> "{"id":"0.4401332226752521-6","value":["1"]}"
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.wire  - http-outgoing-1481 << "HTTP/1.1 200 OK[\r][\n]"
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.wire  - http-outgoing-1481 << "Content-Length:72[\r][\n]"
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.wire  - http-outgoing-1481 << "Content-Type:application/json; charset=utf-8[\r][\n]"
[Forwarding sendKeysToElement on session 3882ed46aa31b8789620a970439fec5f to remote] DEBUG org.apache.http.wire  - http-outgoing-1481 << "Connection:close[\r][\n]"
